cohort,user,placed_pct,pa_pct,n_pct,bone_thigh,bone_shank,bone_upperarm,bone_forearm,bone_hip_width,bone_shoulder_width,j_RHip,j_RKnee,j_RAnkle,j_LHip,j_LKnee,j_LAnkle,j_LShoulder,j_LElbow,j_LWrist,j_RShoulder,j_RElbow,j_RWrist,j_Hip,j_Thorax,beta_00,beta_01,beta_02,beta_03,beta_04,beta_05,beta_06,beta_07,beta_08,beta_09
adult,User03,11.308,4.3454,5.2107,1.0429,0.9878,0.9775,1.0306,1.3937,0.9365,9.717,7.8396,9.2525,9.7637,10.2576,9.8563,9.5624,8.1322,9.4279,7.9486,9.937,9.3461,9.4178,9.7173,-0.2892,0.1053,-0.001,0.0327,0.0255,-0.0207,-0.0169,-0.0016,0.0454,0.0206
adult,User04,8.1163,4.3143,5.4211,1.0526,1.0128,1.0134,1.1576,1.405,0.9256,11.2051,9.3378,9.0519,10.5178,10.2849,8.3307,9.7246,9.9003,11.6809,10.0128,9.0151,10.7122,10.3294,9.923,-0.2364,0.0845,0.0081,0.0254,0.0413,-0.0218,0.0005,-0.0033,0.0526,0.0042
adult,User06,11.2162,4.6287,5.715,1.0618,0.9531,1.0768,1.1493,1.291,0.8796,11.586,10.8823,11.8929,12.2647,11.2789,11.6129,11.3106,11.8579,14.5235,12.0843,9.6068,11.6568,11.723,11.8252,-0.2571,0.0933,0.0347,0.0513,0.0429,-0.0198,-0.019,-0.0025,0.0587,0.0101
adult,User08,12.3965,4.0219,4.944,1.0688,1.0012,1.0063,1.0388,1.3778,0.8759,16.4907,13.0606,12.858,15.4729,13.3049,13.3253,15.0263,12.4739,12.4915,14.2956,13.319,14.97,15.9204,14.4893,-0.2372,0.0837,0.0279,0.0444,0.0379,-0.0194,-0.0213,-0.0032,0.0526,0.0145
adult,User09,9.948,4.2254,5.103,1.0618,0.9905,1.082,1.0516,1.3958,0.8972,12.3173,10.1891,11.9217,12.1156,9.5703,10.6689,11.6703,9.1689,9.9937,12.2254,12.1119,13.3615,11.9255,12.1715,-0.2645,0.0823,0.0232,0.0414,0.0372,-0.0206,-0.011,-0.005,0.0362,0.0065
adult,User10,11.1008,4.3423,5.4926,1.0275,1.0075,1.05,1.2335,1.3809,0.9279,13.1076,11.0676,12.6576,13.4301,11.4109,11.8145,12.948,11.0825,12.861,12.3808,10.4055,13.5649,12.6327,12.8025,-0.2549,0.1019,0.0181,0.0407,0.0411,-0.0193,-0.0078,-0.0027,0.0689,0.0109
adult,User13,11.0735,4.3319,5.5158,1.0474,0.9856,1.0443,1.1034,1.3767,0.948,8.2212,7.8008,9.6887,8.3351,9.719,8.3154,6.4655,8.7529,9.9431,7.1612,8.6158,9.539,8.1711,6.3969,-0.2638,0.1171,0.0174,0.0203,0.0298,-0.0199,-0.0105,0.0011,0.0524,0.0106
child,B010,9.702,4.1499,5.2085,1.2653,1.1116,1.1056,0.9836,1.3077,0.7988,9.8243,9.4345,6.5975,9.5388,8.2529,6.888,9.3486,9.5774,9.7394,8.9926,10.0908,11.5289,8.8888,9.116,-0.3262,-0.044,0.0071,0.0208,0.0105,-0.032,-0.0124,-0.009,-0.0325,0.005
child,B011,9.35,3.7042,4.6319,1.2707,1.1587,1.05,1.0598,1.3078,0.8292,9.9773,8.0467,7.3225,9.6232,7.6168,7.3898,10.5231,10.485,10.689,10.1586,9.1391,10.5831,9.4875,11.0175,-0.2528,-0.0333,0.0001,0.0268,0.0064,-0.0319,-0.0071,-0.0102,-0.0408,0.002
child,B023,9.5085,4.2138,5.3705,1.2496,1.0999,1.1068,1.0591,1.3584,0.7361,8.3404,7.2923,6.0603,8.9448,7.3697,7.3346,7.8869,8.9449,10.3559,9.7844,8.565,9.3162,8.0382,9.7989,-0.3533,-0.0187,-0.0118,0.0234,0.0019,-0.0322,-0.0065,-0.0049,-0.0315,0.007
child,B024,6.5095,3.389,3.9492,1.1802,1.1348,1.1159,1.0243,1.3639,0.8638,6.8406,5.2004,4.7826,6.6352,5.549,5.6803,6.8824,7.0953,7.6868,6.0599,5.9625,6.3725,5.8412,6.9336,-0.3302,0.0044,-0.0168,-0.0075,0.0042,-0.0301,-0.0059,-0.0005,-0.0401,-0.0006
child,B028,9.322,3.8199,4.6354,1.2448,1.1953,1.0619,1.061,1.3958,0.8576,9.219,7.6051,6.8467,9.6073,7.7401,7.9273,10.0483,9.6138,10.02,10.5115,8.0143,9.4607,8.7813,10.9949,-0.3273,-0.0121,-0.0156,0.0094,-0.0026,-0.0355,-0.0089,-0.0022,-0.0331,0.0002
child,B029,8.9835,4.6254,6.0157,1.208,1.0181,1.1155,0.9614,1.3394,0.8254,9.0061,7.962,7.2618,7.626,7.0846,7.7402,9.1549,12.5692,15.7505,8.968,8.3176,8.4328,7.3945,10.0602,-0.3281,-0.0515,0.0438,0.1119,0.0258,-0.0134,-0.0452,-0.0077,0.0354,0.0136
child,B030,10.202,3.8326,4.7638,1.2208,1.1053,1.0888,1.068,1.4154,0.8676,10.0447,8.0225,7.2262,10.3914,7.128,7.9037,11.4199,9.3329,9.0654,10.531,12.0843,10.2956,9.7943,11.0625,-0.2716,0.0242,-0.0211,-0.0121,0.0025,-0.0335,-0.0064,-0.0014,-0.0011,0.007
child,B031,9.7435,3.9327,4.5614,1.2912,1.11,1.0579,1.0592,1.3652,0.8742,9.6856,8.3308,8.2314,10.1238,7.3855,7.3347,9.7607,9.853,9.5057,10.0076,8.9563,8.9804,8.8049,10.535,-0.2664,0.0006,-0.0153,0.0162,-0.0,-0.0369,-0.0067,-0.0085,-0.0458,0.0081
child,B033,11.05,4.0542,4.6473,1.2638,1.1324,1.0763,1.058,1.3483,0.8731,13.3025,11.2041,8.4401,12.5725,10.3831,8.0617,12.2111,12.1451,15.8079,11.1849,11.1551,14.6991,12.592,11.7512,-0.3175,-0.0047,-0.0253,0.0084,0.0014,-0.0275,-0.0016,-0.0021,-0.034,-0.0023
child,B036,9.499,3.6442,4.6912,1.3125,1.156,1.06,1.1344,1.2756,0.8208,9.8216,6.2619,6.1565,9.0701,6.7526,6.3038,10.4534,10.4799,10.5168,10.5441,10.6684,8.5927,9.0357,11.663,-0.1992,-0.0436,0.0058,0.0065,0.0049,-0.033,0.0051,-0.003,-0.0755,-0.0024
child,B040,19.926,4.3916,6.5321,1.3261,1.3613,1.0592,1.1088,1.2665,0.8295,21.6285,18.7645,10.6194,19.7589,16.6173,11.0423,23.5689,20.1758,20.9969,24.553,21.3609,22.642,20.5078,25.2651,-0.2172,-0.0429,0.0055,-0.0107,0.0191,-0.0411,0.0148,-0.0008,-0.0792,-0.0041
child,B042,18.839,3.9717,6.1644,1.2863,1.3166,1.0158,1.0769,1.2532,0.7814,19.1337,16.9505,10.4964,17.944,17.4726,11.2796,23.5717,21.8438,21.5995,21.2537,18.8109,17.7678,19.0514,23.1372,-0.2154,-0.0369,0.0021,0.0087,0.0064,-0.0305,-0.0033,-0.0025,-0.0674,-0.0042
child,B049,10.7032,4.65,6.6537,1.181,1.0568,1.0764,0.9416,1.3258,0.8221,8.6428,7.2588,9.1703,8.2624,11.6766,9.5617,12.1487,12.1336,13.2761,9.5179,9.8803,9.5235,6.9854,11.7371,-0.2444,-0.0031,0.0065,0.0297,0.0176,-0.0293,-0.0182,-0.0042,-0.008,0.0056
child,B058,12.6275,4.1688,5.4119,1.3489,1.1833,1.0628,1.0845,1.3282,0.8045,13.0179,11.8582,7.8376,13.0648,13.0856,7.7652,14.6844,14.9914,13.049,13.5774,10.6572,10.704,13.1665,15.7545,-0.2713,-0.0288,-0.0047,0.0052,-0.0049,-0.0356,-0.0034,-0.0034,-0.0572,-0.0057
child,B086,9.566,2.9958,4.027,1.2239,1.0684,1.0006,1.0758,1.4115,0.8738,9.2048,6.1557,9.2292,11.2979,7.5096,8.9428,10.9877,10.6462,11.7788,9.3047,8.9064,6.9454,9.6295,9.8457,-0.2577,0.0186,-0.0258,0.0234,-0.0118,-0.0293,-0.0118,-0.0089,-0.0062,0.0108
child,B088,8.938,4.2306,5.072,1.259,1.2273,1.1693,1.0876,1.2698,0.8565,10.649,9.0243,6.8771,9.3203,8.0711,7.4408,8.3027,10.4521,10.8494,7.207,8.3304,10.0307,9.8996,8.2967,-0.3179,0.0035,0.0148,0.0431,0.0104,-0.018,-0.0168,-0.0113,-0.0187,0.0057
child,B126,11.18,3.5884,4.1681,1.1572,1.0727,1.028,1.1464,1.2404,0.8544,8.9079,9.3623,6.895,10.4219,10.0176,8.3426,8.2699,9.6468,13.8301,10.9405,10.2093,11.8351,9.4045,10.5082,-0.3323,0.0126,-0.0219,-0.015,0.0011,-0.0449,0.0123,0.0009,-0.0563,0.002
child,B156,11.35,3.9717,5.4136,1.3156,1.187,1.0408,1.0126,1.2944,0.8062,12.0918,9.5869,5.5636,11.3064,9.6469,6.1866,12.0994,11.4854,11.7926,13.565,11.0799,11.4495,11.4048,13.6457,-0.2357,-0.0207,0.0185,0.0416,0.0141,-0.0293,-0.0116,-0.009,-0.0387,0.0018
child,B197,8.383,3.6221,4.7095,1.2323,1.067,1.0699,1.1173,1.3617,0.8546,8.4416,7.997,5.4482,8.5908,5.607,5.3516,8.1258,8.8576,9.0839,7.9798,9.0473,7.8576,8.084,8.5982,-0.311,0.0143,-0.007,0.031,0.0129,-0.0331,-0.0115,-0.0028,-0.0078,0.0064
child,B199,12.653,3.9862,5.4838,1.21,1.2311,1.1086,1.0878,1.3273,0.8172,12.2226,11.3166,7.8382,13.7544,9.3555,7.0444,13.8266,13.3154,14.3038,13.0343,11.226,13.1306,12.6387,14.0629,-0.1805,-0.0048,0.038,0.0356,0.0172,-0.0252,-0.0204,-0.0085,-0.0071,0.0059
child,B200,12.381,4.0859,5.5677,1.303,1.2606,1.0336,1.0941,1.2248,0.8186,14.3481,10.8404,8.5314,13.2062,9.0556,7.8842,13.0115,13.1523,16.2261,14.9097,14.6425,15.018,13.3035,16.2961,-0.245,-0.0172,-0.0031,0.0055,0.0138,-0.0313,0.0087,-0.0023,-0.0548,-0.0084
child,B213,8.891,3.4508,4.5172,1.229,1.1266,1.105,1.0968,1.2734,0.7691,9.505,6.4295,8.5675,8.6679,5.4508,7.8641,8.4191,8.5932,7.8245,9.9474,11.178,11.3868,9.1337,7.8086,-0.2886,-0.0333,0.0025,0.0175,0.0008,-0.033,-0.004,-0.0089,-0.0455,0.0038
child,B225,7.524,3.8499,4.5841,1.2528,1.1474,1.0442,1.1006,1.3067,0.8104,7.591,5.7718,4.4096,7.5836,5.551,4.5866,10.1684,10.1294,15.5074,10.9465,6.7812,7.1234,6.8982,10.3799,-0.285,0.0123,-0.0202,0.035,0.0073,-0.0263,-0.0106,-0.0068,-0.0212,0.0136
child,B228,14.8335,4.6556,6.7998,1.3094,1.2452,1.081,1.0892,1.1895,0.7062,17.5824,15.3014,7.5871,13.7376,14.7845,8.3469,18.1626,15.9042,23.3718,17.9239,13.2647,14.9289,14.3242,18.7666,-0.2436,-0.0368,0.0134,0.0038,0.0293,-0.0353,0.0092,-0.0025,-0.0543,-0.0027
child,B229,10.646,4.3314,5.7252,1.282,1.1078,1.0763,1.0522,1.2456,0.7911,10.8622,9.6237,10.0334,10.2836,8.0221,9.7748,10.1058,10.7465,12.5034,10.6968,11.3168,10.7155,9.3962,9.7396,-0.3223,-0.0156,-0.007,0.055,0.0045,-0.023,-0.0133,-0.0106,-0.0213,0.0106
child,B230,12.173,4.3876,5.9306,1.279,1.261,1.0342,1.0794,1.188,0.7954,13.064,9.8753,6.3411,11.6211,8.5267,7.0391,14.4131,13.3339,16.1338,12.0526,12.9661,14.7736,11.9753,13.4005,-0.2457,-0.0097,0.0127,0.0285,0.0199,-0.0348,-0.0044,-0.0062,-0.0333,-0.0042
child,B234,8.2752,3.5903,4.5364,1.3003,1.1515,1.0349,1.0645,1.2674,0.8486,10.2142,7.9146,4.4072,8.771,7.1697,4.8056,8.5734,7.7652,7.4816,9.6732,7.6761,9.0885,9.1156,9.9009,-0.2479,-0.0299,-0.0027,0.0165,0.0017,-0.0298,-0.0021,-0.0051,-0.0607,-0.006
child,B238,11.77,4.0339,5.41,1.2267,1.2248,0.9846,1.0484,1.3005,0.7895,12.1043,9.3398,6.8866,11.4429,9.624,7.1738,14.7756,15.0255,13.8713,14.0523,11.7392,11.1069,11.0015,15.0967,-0.2508,-0.0115,0.0004,0.0206,0.0031,-0.0292,-0.0093,-0.0058,-0.0362,0.0062
child,B244,8.213,3.829,4.5506,1.2504,1.2026,1.1075,0.9916,1.3459,0.8904,9.3324,6.69,5.5034,8.7769,6.3643,5.8628,7.8963,9.78,10.2724,9.7094,6.8833,9.4753,8.9805,9.5886,-0.2148,-0.0071,0.0028,0.0334,0.0066,-0.0305,-0.0051,-0.0066,-0.0342,-0.0034
child,B277,10.636,4.0503,6.2202,1.2709,1.181,1.0225,1.0859,1.1304,0.7488,10.9441,9.624,7.7956,10.0907,9.8125,8.1243,12.5411,11.427,14.1414,11.7221,9.5672,11.1813,10.1583,12.8678,-0.2869,-0.0383,-0.0047,0.0227,0.0055,-0.0337,0.0088,-0.0112,-0.049,0.0003
child,B278,9.2075,3.2925,4.4678,1.1593,1.1219,1.0501,1.0585,1.2898,0.894,8.8153,6.9953,9.0708,9.3062,6.789,9.8085,8.8012,10.1968,9.6325,9.2427,8.7349,9.903,8.7494,9.0976,-0.2732,0.0234,-0.0006,0.0326,-0.0033,-0.0279,-0.0187,-0.0079,0.0042,0.0144
child,B280,11.931,4.2436,5.5438,1.2496,1.2254,1.0516,1.0348,1.2347,0.8044,12.0242,10.5203,7.0243,12.3164,9.9762,7.7554,12.3786,12.5185,12.8635,12.3823,9.8687,10.4013,11.4122,12.5225,-0.2886,-0.031,0.0158,0.032,0.0168,-0.03,-0.013,-0.0107,-0.0217,0.0065
child,B307,7.628,3.94,4.6942,1.2154,1.0945,1.0749,1.073,1.319,0.7961,8.7653,7.4975,7.8724,7.8677,7.2144,7.188,6.4057,6.5911,8.1139,7.6871,5.9499,7.5201,7.6249,7.9548,-0.358,-0.0089,0.0146,0.0588,0.0032,-0.0276,0.0,-0.0111,-0.0491,0.0054
child,B352,14.635,4.0234,5.7827,1.287,1.306,1.0206,1.094,1.3024,0.7543,16.7829,14.6486,6.5566,14.6864,13.271,7.167,16.2215,13.9892,16.1405,16.2176,15.261,14.9086,15.3966,18.7668,-0.2327,-0.0408,0.0017,-0.0048,0.0093,-0.0322,-0.0022,0.0011,-0.0651,-0.0122
child,B356,10.4905,3.87,5.4507,1.3346,1.2273,1.0151,1.017,1.364,0.8318,10.567,7.9201,6.8753,10.4139,10.1104,7.6053,13.0042,12.7767,11.8472,12.5201,9.7531,10.3907,9.8961,13.984,-0.275,-0.0406,-0.0029,0.0062,0.0032,-0.0408,0.0082,-0.0027,-0.0675,-0.0068
child,B374,9.243,3.1243,4.4674,1.2364,1.2055,1.0292,1.0622,1.2412,0.8462,9.1483,7.5835,5.8366,9.0395,7.2868,5.766,10.9541,9.8482,8.6708,10.5722,8.6928,8.4417,8.7759,11.3102,-0.1715,-0.0186,-0.0007,0.0014,0.0083,-0.0382,-0.0021,-0.0015,-0.0596,-0.0079
