user,action,camera,gt,n_cameras,beta_n_frames,angle_deg,n_frames,conf_thresh,stature_mm,joint_variant,err_smooth_all_mm,err_smooth_conf_mm,err_placed_all_mm,err_placed_conf_mm,err_smooth_all_pct_stature,err_smooth_conf_pct_stature,err_placed_all_pct_stature,err_placed_conf_pct_stature,pa_mpjpe_mm,n_mpjpe_mm,beta_00,beta_01,beta_02,beta_03,beta_04,beta_05,beta_06,beta_07,beta_08,beta_09,errj_Hip_mm,errj_RHip_mm,errj_RKnee_mm,errj_RAnkle_mm,errj_LHip_mm,errj_LKnee_mm,errj_LAnkle_mm,errj_Spine_mm,errj_Thorax_mm,errj_Nose_mm,errj_Head_mm,errj_LShoulder_mm,errj_LElbow_mm,errj_LWrist_mm,errj_RShoulder_mm,errj_RElbow_mm,errj_RWrist_mm,bone_r_thigh_ratio,bone_r_shank_ratio,bone_l_thigh_ratio,bone_l_shank_ratio,bone_l_upperarm_ratio,bone_l_forearm_ratio,bone_r_upperarm_ratio,bone_r_forearm_ratio,bone_hip_width_ratio,bone_shoulder_width_ratio
User03,P03_CMJM_01,01,triangulated,9,1,7.06,375,0.3,1890.0,smooth_all,447.726,447.726,464.122,464.122,23.689,23.689,24.557,24.557,163.261,266.275,-1.31124,-0.13305,-0.66196,-0.87197,-0.21607,-0.13326,0.32676,0.0109,-0.80708,-0.12107,420.193,408.719,220.816,254.662,449.341,194.54,95.483,,617.678,,,632.038,735.099,758.222,549.576,374.896,556.902,1.0517,1.0226,1.0769,0.9953,0.9582,1.1494,0.9924,1.0576,1.4953,0.9287
User03,P03_CMJM_01,00,triangulated,9,87,39.66,375,0.3,1890.0,smooth_all,241.661,241.286,232.802,232.614,12.786,12.766,12.318,12.308,79.717,96.217,-0.45372,0.05165,0.03121,0.0828,0.01171,-0.01608,-0.02097,-0.00315,0.0371,0.02333,208.245,244.513,290.228,239.336,181.858,340.765,343.744,,167.699,,,170.266,336.155,370.083,134.588,158.179,197.6,1.0368,1.0022,1.049,0.9681,0.945,1.0764,0.9732,0.9926,1.3839,0.9569
User03,P03_CMJM_01,08,triangulated,9,112,69.53,375,0.3,1890.0,smooth_all,174.587,174.304,218.771,218.812,9.237,9.222,11.575,11.577,83.861,132.915,-0.34395,0.12731,0.01414,0.0959,0.05364,-0.01418,-0.02165,-0.01292,0.078,0.02217,93.607,121.023,159.274,141.803,135.801,232.389,211.658,,98.869,,,116.682,292.572,334.612,141.477,187.81,176.642,1.0343,1.0056,1.0419,0.9699,0.9214,1.0669,0.9451,0.9618,1.416,0.9404
User03,P03_CMJM_01,07,triangulated,9,113,85.56,375,0.3,1890.0,smooth_all,144.721,144.721,185.712,185.712,7.657,7.657,9.826,9.826,71.27,100.68,-0.29247,0.10511,0.01344,0.08916,0.0504,-0.02351,-0.02729,-0.01502,0.08459,0.03215,95.559,115.983,148.169,145.434,111.163,173.574,161.426,,122.429,,,119.855,170.565,217.703,147.834,143.683,153.084,1.0283,1.0033,1.0326,0.976,0.9187,1.0805,0.9594,0.9808,1.3833,0.9449
User03,P03_CMJM_01,06,triangulated,9,112,112.63,375,0.3,1890.0,smooth_all,221.475,221.303,229.542,229.495,11.718,11.709,12.145,12.143,74.995,86.052,-0.42438,0.10528,0.00308,0.0753,0.03515,-0.02728,-0.01686,-0.0082,0.04543,0.02055,179.782,179.76,258.499,182.346,193.798,256.422,186.284,,183.657,,,180.73,299.287,386.311,150.228,216.484,247.058,1.0394,1.0041,1.0409,0.9752,0.9338,1.0524,0.9497,0.9716,1.3937,0.9382
User03,P03_CMJM_01,05,triangulated,9,23,159.6,375,0.3,1890.0,smooth_all,264.73,259.196,263.601,257.703,14.007,13.714,13.947,13.635,81.529,85.869,-0.53208,0.08524,-0.03114,0.01228,-0.00904,-0.01853,-0.00186,0.00636,0.01495,0.01562,239.986,216.908,308.45,245.203,270.716,233.761,115.259,,269.985,,,242.324,267.519,352.305,270.08,350.777,322.946,1.0543,0.996,1.0466,0.9821,0.9456,1.1237,0.9741,0.9643,1.3954,0.9516
User03,P03_CMJM_01,04,triangulated,9,105,228.51,375,0.3,1890.0,smooth_all,172.455,172.85,163.225,163.527,9.125,9.146,8.636,8.652,86.698,96.961,-0.26334,0.15086,-0.02587,0.02086,0.03093,-0.01499,0.03736,0.01093,0.00265,-0.00662,189.006,183.651,126.526,178.932,205.232,77.77,101.146,,232.86,,,227.034,123.863,141.372,258.526,208.17,159.77,1.0483,0.9917,1.0627,0.9764,0.9179,1.0832,0.953,1.0014,1.3646,0.9292
User03,P03_CMJM_01,03,triangulated,9,110,265.36,375,0.3,1890.0,smooth_all,159.146,159.146,232.535,232.535,8.42,8.42,12.303,12.303,108.191,114.183,-0.29364,0.26129,-0.08686,-0.00979,0.05431,-0.02532,0.04256,0.02865,0.05349,-0.00547,198.786,203.21,96.382,174.873,205.093,87.534,157.027,,183.684,,,185.938,117.384,170.804,203.016,114.173,129.975,1.0382,0.9834,1.0626,0.9683,0.9313,1.0882,0.9638,0.9857,1.3397,0.9413
User03,P03_CMJM_01,02,triangulated,9,99,326.7,375,0.3,1890.0,smooth_all,236.865,236.156,228.151,227.593,12.533,12.495,12.072,12.042,82.128,98.483,-0.25652,0.0599,-0.00085,-0.02859,0.01646,-0.00878,0.03045,0.00306,-0.0292,-0.01175,242.75,257.477,125.071,160.329,243.984,193.869,262.882,,304.747,,,330.061,289.774,157.714,300.922,234.245,212.291,1.0477,1.014,1.0659,0.9776,0.9401,1.0362,0.9533,0.9692,1.402,0.9387
User03,P03_HOP_01,00,triangulated,7,76,39.13,525,0.3,1890.0,smooth_all,321.542,319.351,295.201,293.054,17.013,16.897,15.619,15.506,89.832,130.642,-0.95508,0.07964,-0.13262,-0.11678,-0.07032,-0.01604,0.00196,0.01016,-0.00179,0.00609,289.925,325.808,400.449,401.386,265.715,446.911,483.317,,192.28,,,201.853,373.487,412.463,154.449,215.114,338.426,1.04,0.9868,1.0425,0.9787,0.9871,1.0907,0.9932,1.0117,1.4324,0.9408
