user,action,camera,gt,n_cameras,beta_n_frames,angle_deg,n_frames,conf_thresh,stature_mm,joint_variant,err_smooth_all_mm,err_smooth_conf_mm,err_placed_all_mm,err_placed_conf_mm,err_smooth_all_pct_stature,err_smooth_conf_pct_stature,err_placed_all_pct_stature,err_placed_conf_pct_stature,pa_mpjpe_mm,n_mpjpe_mm,beta_00,beta_01,beta_02,beta_03,beta_04,beta_05,beta_06,beta_07,beta_08,beta_09,errj_Hip_mm,errj_RHip_mm,errj_RKnee_mm,errj_RAnkle_mm,errj_LHip_mm,errj_LKnee_mm,errj_LAnkle_mm,errj_Spine_mm,errj_Thorax_mm,errj_Nose_mm,errj_Head_mm,errj_LShoulder_mm,errj_LElbow_mm,errj_LWrist_mm,errj_RShoulder_mm,errj_RElbow_mm,errj_RWrist_mm,bone_r_thigh_ratio,bone_r_shank_ratio,bone_l_thigh_ratio,bone_l_shank_ratio,bone_l_upperarm_ratio,bone_l_forearm_ratio,bone_r_upperarm_ratio,bone_r_forearm_ratio,bone_hip_width_ratio,bone_shoulder_width_ratio
B010,B010_GMS_1_1,2,triangulated,3,150,221.18,205,0.3,1020.0,smooth_all,106.071,101.121,111.019,105.75,10.399,9.914,10.884,10.368,40.541,52.881,-0.41136,-0.10793,-0.01292,0.01276,0.01662,-0.03386,0.00357,-0.00977,-0.09446,-0.01074,111.334,112.836,105.083,94.47,118.833,82.022,88.021,,106.133,,,103.806,122.047,141.156,101.009,93.257,81.866,1.4176,1.0554,1.3061,1.1053,1.0966,0.9992,1.0366,1.0406,1.366,0.7987
B010,B010_GMS_1_1,1,triangulated,3,195,265.93,205,0.3,1020.0,smooth_all,81.107,81.107,88.058,88.058,7.952,7.952,8.633,8.633,38.425,53.005,-0.15039,-0.10731,0.02177,0.01387,0.01619,-0.0348,0.00359,-0.00491,-0.06138,-0.00291,78.088,82.935,76.014,75.943,78.846,76.2,88.762,,91.536,,,97.122,79.623,82.897,80.964,53.551,73.224,1.3763,1.0919,1.2958,1.0965,1.1288,1.0338,1.0637,1.039,1.2121,0.7625
B010,B010_GMS_1_1,3,triangulated,3,106,313.07,205,0.3,1020.0,smooth_all,98.431,93.456,103.771,99.193,9.65,9.162,10.174,9.725,46.197,54.175,-0.34284,-0.03092,0.03398,0.0394,0.01537,-0.03941,-0.03231,-0.00813,-0.00362,0.00309,87.425,95.392,96.629,91.93,97.318,65.026,76.985,,84.666,,,108.842,100.41,130.481,77.889,113.996,152.349,1.2933,1.0031,1.3371,1.1091,1.1278,1.0216,1.1131,1.0309,1.3127,0.8021
B010,B010_GMS_1_3,2,triangulated,3,102,223.58,113,0.3,1020.0,smooth_all,80.937,81.02,87.56,87.398,7.935,7.943,8.584,8.568,41.421,52.436,-0.35046,-0.0753,0.00917,0.00515,0.0168,-0.03623,0.00365,-0.00883,-0.06461,-0.0112,86.07,101.881,49.409,55.573,82.354,70.463,72.642,,90.388,,,92.272,96.581,92.068,89.206,81.906,72.299,1.2016,1.1587,1.3121,1.0995,1.0967,0.9999,1.0638,0.9981,1.3225,0.8061
B010,B010_GMS_1_3,1,triangulated,3,113,268.06,113,0.3,1020.0,smooth_all,113.417,113.417,114.381,114.381,11.119,11.119,11.214,11.214,38.694,52.473,-0.10177,-0.0463,0.0319,0.03822,0.01935,-0.03085,-0.00636,-0.00959,-0.00296,0.017,115.025,122.229,93.125,57.926,111.843,102.83,64.923,,161.283,,,151.402,124.857,105.87,144.901,112.124,121.021,1.2121,1.1234,1.3557,1.1102,1.0809,1.0323,1.0961,0.9695,1.1669,0.7681
B010,B010_GMS_1_3,3,triangulated,3,113,313.89,113,0.3,1020.0,smooth_all,74.996,74.996,76.781,76.781,7.353,7.353,7.528,7.528,45.591,56.17,-0.32295,0.01925,-0.01074,0.0203,0.00013,-0.04164,0.01093,-0.00718,-0.0665,0.00362,72.528,90.236,35.69,28.059,80.823,59.465,58.317,,84.225,,,64.551,68.849,67.528,83.649,75.337,179.265,1.2288,1.0859,1.3363,1.1273,1.0858,1.0894,1.1189,0.9302,1.305,0.7956
B010,B010_GMS_1_4,2,triangulated,3,94,222.24,138,0.3,1020.0,smooth_all,76.264,76.264,78.844,78.844,7.477,7.477,7.73,7.73,38.84,49.118,-0.43537,-0.06832,-0.02552,-0.00981,0.00973,-0.03289,0.0042,-0.00621,-0.08962,-0.01267,82.361,89.412,84.519,73.111,90.289,49.49,61.851,,69.47,,,64.703,67.165,81.307,76.966,91.634,96.153,1.315,1.1629,1.2713,1.0564,1.1357,0.963,1.0811,0.9782,1.3496,0.8128
B010,B010_GMS_1_4,1,triangulated,3,106,266.88,138,0.3,1020.0,smooth_all,74.259,74.259,77.042,77.042,7.28,7.28,7.553,7.553,44.956,60.351,-0.21929,-0.04388,-0.00326,0.01004,0.0162,-0.01697,-0.01354,-0.01243,-0.01704,0.01066,57.762,60.675,102.463,112.757,59.633,58.867,64.781,,76.963,,,87.0,72.832,87.878,57.351,54.033,94.767,1.3466,1.1036,1.2741,1.0964,1.1609,1.0122,1.0799,1.0096,1.1727,0.7402
B010,B010_GMS_1_4,3,triangulated,3,62,313.43,138,0.3,1020.0,smooth_all,63.656,63.07,73.037,72.944,6.241,6.183,7.16,7.151,46.019,55.943,-0.37326,-0.01403,0.04097,0.05496,0.01253,-0.01975,-0.05551,-0.01071,0.03727,0.02274,49.335,63.297,53.986,57.982,61.081,60.727,57.104,,56.169,,,52.773,79.321,113.871,50.962,48.56,87.361,1.2283,0.9401,1.2913,1.1009,1.1983,0.9683,1.097,0.9636,1.319,0.7964
B010,B010_GMS_1_5,2,triangulated,3,113,220.01,132,0.3,1020.0,smooth_all,81.802,80.691,88.385,86.793,8.02,7.911,8.665,8.509,40.303,50.954,-0.36345,-0.05884,0.04444,0.06598,0.02648,-0.01752,-0.02049,-0.0079,-0.0124,-0.00219,89.584,98.534,69.029,93.444,87.95,61.431,82.773,,76.717,,,76.649,86.168,90.871,78.481,74.708,77.47,1.2288,1.1394,1.2844,1.0952,1.113,0.9989,1.0974,1.0561,1.3154,0.7929
B010,B010_GMS_1_5,1,triangulated,3,132,266.39,132,0.3,1020.0,smooth_all,97.244,97.244,96.5,96.5,9.534,9.534,9.461,9.461,43.5,50.541,-0.30108,-0.06119,0.03478,0.0447,0.00716,-0.02809,-0.02274,-0.01583,-0.02448,0.00599,112.092,109.142,82.966,75.25,111.008,97.585,79.085,,92.645,,,107.998,135.899,123.21,87.736,61.739,67.63,1.199,1.1259,1.2515,1.1006,1.1191,1.0118,1.0776,0.9877,1.2366,0.7655
B010,B010_GMS_1_5,3,triangulated,3,112,315.1,132,0.3,1020.0,smooth_all,80.129,77.646,79.769,77.264,7.856,7.612,7.82,7.575,40.197,49.127,-0.34579,-0.0697,0.00329,0.05204,-0.00494,-0.03375,0.00644,-0.01393,-0.07218,0.00363,70.806,77.094,66.151,67.5,87.681,59.449,79.444,,75.077,,,74.744,75.168,97.584,75.327,93.98,122.911,1.236,1.0934,1.3043,1.1182,1.1054,1.0879,1.0906,0.9569,1.3104,0.7908
